distid,schoolid_stateassigned,distname,schoolname,enroll_raw_TX,pp_stloc_raw_TX
101902,101902014,ALDINE ISD,BLANSON CTE H S,994,8027.824053
101902,101902131,ALDINE ISD,BUSSEY EL,583,8052.999576
101902,101902128,ALDINE ISD,CALVERT EL,391,9196.910623
101902,101902141,ALDINE ISD,CARAWAY EL,548,8265.19977
101902,101902122,ALDINE ISD,CARMICHAEL EL,511,9319.175862
101902,101902103,ALDINE ISD,CARROLL EL,796,6954.438968
101902,101902107,ALDINE ISD,CARTER ACADEMY,656,8000.982172
101902,101902002,ALDINE ISD,CARVER H S FOR APPLIED TECH/ENGINE,776,9213.484687
101902,101902123,ALDINE ISD,CONLEY EL,532,8128.166979
101902,101902136,ALDINE ISD,CYPRESSWOOD EL,937,6647.208322
101902,101902012,ALDINE ISD,DAVIS H S ALDINE,2528,7217.579656
101902,101902082,ALDINE ISD,DAVIS NINTH GRADE,850,7650.145099
101902,101902155,ALDINE ISD,DE SANTIAGO EC/PK/K,722,7062.172024
101902,101902042,ALDINE ISD,DREW ACADEMY,572,9707.846917
101902,101902124,ALDINE ISD,DUNN EL,501,9097.47947
101902,101902137,ALDINE ISD,ECKERT EL,663,7395.521811
101902,101902004,ALDINE ISD,EISENHOWER H S,2138,7636.688953
101902,101902084,ALDINE ISD,EISENHOWER NINTH GRADE,603,8785.442877
101902,101902121,ALDINE ISD,ERMEL EL,512,8873.051818
101902,101902138,ALDINE ISD,ESCAMILLA EL,842,6796.274363
101902,101902105,ALDINE ISD,FRANCIS EL,813,7991.76719
101902,101902053,ALDINE ISD,GARCIA MIDDLE,1177,7446.224147
101902,101902163,ALDINE ISD,GARCIA-LEZA EC/PK/K,850,7245.827452
101902,101902106,ALDINE ISD,GOODMAN EL,404,9770.830941
101902,101902048,ALDINE ISD,GRANTHAM ACADEMY,1140,7542.48352
101902,101902125,ALDINE ISD,GRAY EL,601,8667.931322
101902,101902135,ALDINE ISD,GREENSPOINT EL,686,7998.482883
101902,101902161,ALDINE ISD,GRIGGS EC/PK/K,864,6676.034312
101902,101902013,ALDINE ISD,HALL CENTER FOR EDUCATION,195,20837.101
101902,101902043,ALDINE ISD,HAMBRICK MIDDLE,1246,7503.719674
101902,101902129,ALDINE ISD,HARRIS EL,596,7968.653354
101902,101902098,ALDINE ISD,HIGHPOINT,NRD,NRD
101902,101902144,ALDINE ISD,HILL EL,641,8062.339046
