,distid_nerds,schoolid_stateassigned,distname_nerds,schoolname_nerds,enroll_raw_TX,pp_stloc_raw_TX,CEID,distname_ed,SiteID,schoolname_ed,distid_ed,CECounty,SiteCounty,SiteISP,school_id
33,46902.0,46902047,COMAL ISD,PIEPER RANCH MIDDLE,1254,8172.96375,215,COMAL ISD,47,Pieper Ranch Middle,46902,COMAL,BEXAR,,46902047
34,46902.0,46902001,COMAL ISD,CANYON H S,2698,7799.807203,215,COMAL ISD,1,CANYON HIGH SCHOOL,46902,COMAL,COMAL,15.46,46902001
35,46902.0,46902115,COMAL ISD,FREIHEIT EL,689,8145.272782,215,COMAL ISD,115,FREIHEIT ELEMENTARY,46902,COMAL,COMAL,38.65,46902115
36,46902.0,46902041,COMAL ISD,SMITHSON VALLEY MIDDLE,667,8111.565939,215,COMAL ISD,41,SMITHSON VALLEY MIDDLE,46902,COMAL,COMAL,7.85,46902041
37,46902.0,46902111,COMAL ISD,MH SPECHT EL,794,7090.092725,215,COMAL ISD,111,MH SPECHT ELEMENTARY SCHOOL,46902,COMAL,COMAL,14.23,46902111
38,46902.0,46902119,COMAL ISD,CLEAR SPRING EL,757,6585.091419,215,COMAL ISD,119,CLEAR SPRINGS EL,46902,COMAL,COMAL,29.41,46902119
39,46902.0,46902104,COMAL ISD,GOODWIN FRAZIER EL,641,7753.612004,215,COMAL ISD,104,GOODWIN FRAZIER ELEMENTARY SCHOOL,46902,COMAL,COMAL,47.04,46902104
40,46902.0,46902125,COMAL ISD,INDIAN SPRINGS EL,806,6192.875666,215,COMAL ISD,125,INDIAN SPRINGS ELEMENTARY,46902,COMAL,COMAL,7.01,46902125
41,46902.0,46902110,COMAL ISD,ARLON R SEAY EL,391,7811.983965,215,COMAL ISD,110,ARLON R. SEAY INTERMEDIATE,46902,COMAL,COMAL,14.03,46902110
42,46902.0,46902114,COMAL ISD,TIMBERWOOD PARK EL,690,7034.407069,215,COMAL ISD,114,TIMBERWOOD PARK ELEMENTARY,46902,COMAL,COMAL,7.79,46902114
43,46902.0,46902007,COMAL ISD,MEMORIAL EARLY COLLEGE H S WITH ST,345,8254.533155,215,COMAL ISD,7,MEMORIAL EARLY COLLEGE HIGH SCHOOL,46902,COMAL,COMAL,15.07,46902007
44,15911.0,15911043,EAST CENTRAL ISD,EAST CENTRAL HERITAGE MIDDLE,1230,6975.582285,86,EAST CENTRAL ISD,43,EAST CENTRAL HERITAGE MIDDLE,15911,BEXAR,BEXAR,41.8,15911043
45,15911.0,15911104,EAST CENTRAL ISD,SINCLAIR EL,505,8429.297579,86,EAST CENTRAL ISD,104,SINCLAIR EL,15911,BEXAR,BEXAR,51.38,15911104
46,15911.0,15911110,EAST CENTRAL ISD,OAK CREST EL,745,7988.717501,86,EAST CENTRAL ISD,110,OAK CREST EL,15911,BEXAR,BEXAR,45.03,15911110
47,15911.0,15911042,EAST CENTRAL ISD,SALADO INT,713,7862.646241,86,EAST CENTRAL ISD,42,SALADO INT,15911,BEXAR,BEXAR,50.0,15911042
48,15911.0,15911103,EAST CENTRAL ISD,PECAN VALLEY EL,549,8433.095097,86,EAST CENTRAL ISD,103,PECAN VALLEY EL,15911,BEXAR,BEXAR,57.35,15911103
49,15911.0,15911108,EAST CENTRAL ISD,TRADITION EL,775,7804.57993,86,EAST CENTRAL ISD,108,TRADITION EL,15911,BEXAR,BEXAR,38.79,15911108
50,15911.0,15911102,EAST CENTRAL ISD,HARMONY EL,458,9248.932436,86,EAST CENTRAL ISD,102,HARMONY EL,15911,BEXAR,BEXAR,58.97,15911102
51,15911.0,15911106,EAST CENTRAL ISD,HIGHLAND FOREST EL,490,8995.191477,86,EAST CENTRAL ISD,106,HIGHLAND FOREST ELEMENTARY,15911,BEXAR,BEXAR,48.73,15911106
52,15911.0,15911044,EAST CENTRAL ISD,LEGACY MIDDLE,1192,7352.046024,86,EAST CENTRAL ISD,44,LEGACY MIDDLE SCHOOL,15911,BEXAR,BEXAR,45.13,15911044
53,15911.0,15911001,EAST CENTRAL ISD,EAST CENTRAL H S,3099,7742.189852,86,EAST CENTRAL ISD,1,EAST CENTRAL H S,15911,BEXAR,BEXAR,36.03,15911001
54,15911.0,15911105,EAST CENTRAL ISD,EAST CENTRAL DEV CTR,112,15232.77847,86,EAST CENTRAL ISD,105,EAST CENTRAL DEV CTR,15911,BEXAR,BEXAR,63.73,15911105
55,15914.0,15914001,FT SAM HOUSTON ISD,ROBERT G COLE MIDDLE/HIGH SCHOOL,717,16765.25143,89,FT SAM HOUSTON ISD,1,ROBERT G COLE JR-SR HIGH SCHOOL,15914,BEXAR,BEXAR,3.23,15914001
